rec_id,rec2_id,culture,sex,age,date_of_birth,title,given_name,surname,state,suburb,postcode,street_number,address_1,address_2,phone_number,soc_sec_id,blocking_number,family_role
rec-363-org,rec-38-org,eng,,11,20050402,dr,caresse,shelby,qld,cullinane,2234,4,pedrail place,,3 70213581,4764773,8,NoRole
rec-870-dup-0,rec-1797-org,jew,m,8,20080930,,alessandra,kraudz,nsw,rollands plains,2608,3,breona place,,2 56955060,1635061,8,NoRole
rec-3174-org,rec-2848-org,pak,,20,19961118,,edward,barlas,nsw,horsley,5159,158,baynton street,,2 91612628,9451675,8,NoRole
rec-3709-dup-0,rec-2670-org,unk,m,29,19870717,,breopny,aaqre,qld,mornigton,4680,26,coranderr street,,3 23001399,2990804,2,NoRole
rec-1500-org,rec-3170-org,unk,f,32,19840506,,reuben,scopel,qld,no 6 branch,6230,5,nelson place,,03 15856706,5041507,1,NoRole
rec-1283-org,rec-2116-org,ind,m,30,19861103,,nicholas,bhanjee,qld,goodna,4551,46,zamia place,glenburn,03 35107492,9789033,5,NoRole
rec-2441-org,rec-1338-org,eng,,34,19820107,,liam,rattray,,medina,3011,57,lampard circuit,myross,07 20393458,5070827,9,NoRole
rec-3993-org,rec-807-org,chi,f,32,19840424,,marco,an,sa,yorketown,3012,33,duffy street,,07 24077098,2499234,1,NoRole
rec-2470-org,rec-1620-org,hun,,9,20070422,,madeline,koban,,berowra heights,2675,22,eaves street,the manoa,07 13817756,4611362,2,NoRole
rec-2396-dup-0,rec-3144-org,unk,o,35,19810316,,abbitt,chloe,,mcdowall,2263,47,mcmaster street,,02 11491254,2928096,9,NoRole
rec-281-org,rec-2015-org,usa,f,,19230213,gen,jade,fuentes,,rothwell,2101,1,michael holt crescent,,07 51699847,7111277,6,NoRole
rec-2423-org,rec-3085-org,,f,27,19890921,dr,riley,purdon,vic,kingston,2171,18,farncomb place,currumbin hill,618 76074341,3628025,9,NoRole
rec-2417-dup-0,rec-1191-org,unk,f,30,19890201,ms,andrw,abadi,vic,port macquareie,5070,30,,rosehill,8 03274613,5473833,5,NoRole
rec-48-org,rec-1646-org,ind,f,36,19800802,,molly,binwani,,hester,2060,337,nelson place,stonefield,03 59345163,4026666,8,NoRole
rec-2844-org,rec-671-org,jew,f,27,19890514,ms,jack,malbim,wa,beaufort river,3088,68,hawker street,,618 52914300,8231587,9,NoRole
rec-518-org,rec-1152-org,ser,f,,19860828,,ruby,batez,,cronulla,3996,12,bindel street,pine avon,08 98735752,8334745,8,NoRole
