rec_id,rec2_id,culture,sex,age,date_of_birth,title,given_name,surname,state,suburb,postcode,street_number,address_1,address_2,phone_number,soc_sec_id,blocking_number,family_role
rec-70471-org,rec-26294-org,ind,,28,19880827,ms,campbell,pritha,qld,iluka,4103,1293,carr crescent,,613 16640695,9592663,7,NoRole
rec-35920-org,rec-44322-org,usa,,36,,,georgia,roach,nsw,bolwarra,2131,50,mugglestone place,,2 69167459,4680645,5,NoRole
rec-15287-org,rec-26618-org,usa,f,26,19900411,,dylan,lynn,wa,koojan,3221,8,kallara close,baroona,8 53457496,4908106,7,NoRole
rec-11991-dup-0,rec-32063-org,chi,f,20,19916229,,jacob,xiang,nsw,lightningridge,3184,11,quandont street,,2 67427771,8328992,8,NoRole
rec-885-org,rec-33645-org,eng,f,26,19900408,,jye,winchester,nsw,belmore,2073,4,nanda place,,2 95478220,3943135,7,NoRole
rec-59681-dup-0,rec-48814-org,eng,,26,19910909,ms,lucaa,rupertson,act,gordon,6624,231,antis street,villac 2,2 21972959,8734640,4,NoRole
rec-76625-org,rec-34367-org,chi,m,,19490608,ms,erin,hor,vic,altona meadows,4860,10,blakey close,cranbrook,618 52959197,2126360,3,NoRole
rec-53954-org,rec-28479-org,usa,f,27,19891225,pfc,jye,marquez,wa,coondle,2484,19,lyndon street,brandywine stud,618 07128502,6965371,9,NoRole
rec-82701-org,rec-28391-org,unk,f,35,19810310,,kai,aaron,nsw,berrambool,2784,5,bellchambers crescent,,2 94453857,1998554,0,NoRole
rec-71250-dup-0,rec-16613-org,unk,f,,20043020,,alexader,aarts,qld,coomoo,6027,68,harlandrplace,,03 26359896,1450735,6,NoRole
rec-85306-org,rec-86164-org,eng,m,27,19891022,,indiana,statham,vic,thorpdale south,2777,29,wilkins street,st francis vlge,8 27006777,6655722,7,NoRole
rec-27061-org,rec-43219-org,usa,f,10,20060422,,thomas,church,vic,drummond north,2251,24,weetman place,,08 81508971,3490311,0,NoRole
rec-59710-org,rec-59315-org,eng,f,,19801115,,blake,banister,vic,coolaroo,2066,9,lyne place,,8 50997288,6161581,5,NoRole
rec-20056-org,rec-44642-org,eng,m,22,19940911,,jamie,stoddard,vic,kotta,2902,32,colebatch place,,08 72430224,7951742,1,NoRole
rec-8528-dup-0,rec-75721-org,fin,,33,19850228,,hayley,kallrla,qld,currumbin valley,7018,,homburg street,villaw3,08 07013933,8679085,9,NoRole
rec-53668-org,rec-24944-org,pol,f,32,19840711,,chloe,chmara,tas,lileah,3030,3,minns place,,617 64092094,2926305,4,NoRole
rec-17160-org,rec-66016-org,abo,f,44,19720727,,brooke,marika,nsw,failford,2290,131,savige street,,612 80113823,1695828,0,NoRole
rec-3815-org,rec-62108-org,eng,m,8,20081003,,mikhaili,sackville,qld,tolga,4059,4,wenholz street,st john of god hospital,03 79803079,8356169,9,NoRole
rec-67016-org,rec-56149-org,unk,f,26,19900912,ms,zoe,strainij,nsw,bawley point,3551,24,chandler street,,612 20019922,2687955,2,NoRole
rec-55521-org,rec-4452-org,unk,f,19,,ms,lauren,strazzari,sa,henley beach south,3023,23,cayley place,,07 44726959,6872380,0,NoRole
rec-52672-dup-0,rec-21037-org,spa,f,21,19891217,,lewis,pinzn,vic,alexayndra,3064,8,chippindall circuit,,618 12429588,5021135,6,NoRole
rec-36829-org,rec-74398-org,,f,,19590730,mr,kyle,bradshaw,nsw,umina beach,2146,18,greeves street,,2 11810753,9231644,7,NoRole
rec-4659-org,rec-67705-org,ser,f,29,19871124,,gillian,buzolic,,kyabram,2076,43,spiers place,,02 55443255,4664114,5,NoRole
rec-36793-org,rec-25169-org,eng,m,29,19870205,,olivia,dennel,nsw,quirindi,2617,19,southern cross drive,,02 05885495,2143858,9,NoRole
rec-46763-dup-0,rec-48152-org,ara,f,23,19840119,ms,toby,shasmeen,qld,beauesert,3079,7,porteous srescent,,3 54383135,8408159,4,NoRole
rec-80730-org,rec-8070-org,unk,f,,,,lauren,stratou,vic,stanmore,2133,30,canberra avenue,,,8114525,2,NoRole
rec-31753-org,rec-16707-org,ind,f,22,19940914,,bethany,kambli,qld,targinie,3550,705,companion crescent,,3 55945492,6696158,1,NoRole
rec-58708-org,rec-3404-org,ind,f,22,19940325,,madeline,doenani,qld,wengenville,3104,14,brooke place,,3 12910849,7043731,4,NoRole
rec-60214-dup-0,rec-23204-org,ser,g,,19710724,,fing,buzolic,vic,langwaarrin,2134,170,frencham place,karkatt,618 47462058,1506336,8,NoRole
rec-64161-org,rec-8093-org,eng,,13,20030628,mr,erin,deadman,vic,baringhup,4504,1,grigg place,,8 40014675,3580488,1,NoRole
rec-17941-dup-0,rec-2499-org,vie,f,,19960510,pfc,callmum,bishop,vic,waverly,2589,83,catts place,summerset park stud,618 16358316,8503068,3,NoRole
rec-26540-org,rec-74766-org,fin,f,31,,,takara,pontinen,nsw,bondi junction,2567,90,mckay garden,padua park holsteins,612 43229177,7700873,3,NoRole
rec-69527-org,rec-55489-org,chi,,29,19871129,ms,jack,lwo,tas,barcaldine,2280,10,namatjira drive,kilmore,7 49881933,7154997,6,NoRole
rec-32504-org,rec-55733-org,dut,m,,19830719,hon,teegan,arendsz,wa,oombulgurri,4825,13,mcclaughry place,,08 03439738,2820654,8,NoRole
rec-3220-org,rec-77274-org,unk,m,36,19800212,,campbell,strahn,nsw,minmi,4217,12,garner place,,02 10536673,6720865,8,NoRole
rec-3272-org,rec-34909-org,chi,f,37,19790713,,nicholas,xue,qld,glenmoral,2759,4,rudall street,the wedge,,6578376,8,NoRole
rec-61419-dup-0,rec-54672-org,usa,,52,19970126,,,simon,nsw,paterson,2250,2,hawkins culose,,04 47209353,1796348,6,NoRole
rec-20483-org,rec-1696-org,chi,,32,19840608,mr,eva,tswei,nsw,sunshine,5267,12,moon place,,02 92241163,9065164,4,NoRole
rec-30476-org,rec-76351-org,ind,f,33,19830512,,charlie,arora,nsw,williamtown,2565,91,summerland circuit,,612 55460250,9378933,5,NoRole
rec-7305-org,rec-17383-org,eng,f,12,,,alex,dick,sa,alford,4868,179,east place,,7 30395443,7018775,8,NoRole
rec-24876-org,rec-58097-org,usa,f,11,20050726,,seth,simpson,qld,cungulla,6035,27,canopus crescent,twojays,613 53910960,3015525,1,NoRole
