rec_id,rec2_id,culture,sex,age,date_of_birth,title,given_name,surname,state,suburb,postcode,street_number,address_1,address_2,phone_number,soc_sec_id,blocking_number,family_role
rec-3234-org,rec-1993-org,unk,,30,19860613,,kane,scime,wa,hannans,2131,8,pridham street,,08 98873222,8728265,4,NoRole
rec-5018-org,rec-914-org,eng,f,34,19820222,,shawn,alvey,nsw,numbla vale,4390,149,pelham close,omearas farm,,3070936,0,NoRole
rec-3946-org,rec-5518-org,eng,f,30,19860306,mr,zachary,arrington,vic,noorinbee,4880,99,rivett street,,08 87008754,6672587,9,NoRole
rec-6750-org,rec-5387-org,ger,f,13,20030905,,nicole,mosbauer,nsw,,2747,,boot place,,2 41059452,1874772,7,NoRole
rec-4158-org,rec-1267-org,rus,f,27,19891107,ms,natalee,marchenko,nsw,breeza,4717,64,valli place,,,5897103,6,NoRole
rec-801-org,rec-6570-org,unk,f,33,19830711,,finn,scottjackson,qld,braemore,2607,1897,quambone place,phillip island,08 87759182,1756331,6,NoRole
rec-7699-org,rec-3734-org,usa,f,27,19890926,,lewis,morton,vic,ocean grove,4670,1,trumper street,tingara vlge,08 05202475,3967455,6,NoRole
rec-1134-org,rec-698-org,eng,f,23,19930827,hon,amy,morrish,tas,parattah,4208,179,archibald street,,617 08451431,8376456,0,NoRole
rec-8179-org,rec-6531-org,usa,m,29,19870919,ms,alannah,perez,qld,,5048,118,bootle place,,3 75649305,4901314,1,NoRole
rec-6940-org,rec-1328-org,eng,f,28,19880608,ms,tyler,tennyson,,taree,2170,32,gilbert street,apt 8 petrie mansions,03 52672380,2332713,5,NoRole
rec-2285-org,rec-2372-org,chi,f,,19650310,ms,mikaela,che,vic,wonga park,2140,500,eltham place,garden settlement,618 33121105,3643847,4,NoRole
rec-7479-org,rec-6791-org,chi,,26,19900421,ms,sarah,cha,qld,hammondville,3182,44,,mudhill,03 12629637,9239602,6,NoRole
rec-8370-org,rec-8561-org,unk,f,26,19901127,dr,william,strapp,qld,pickanjinnie,5158,88,chippindall circuit,,613 60463216,6136504,6,NoRole
rec-8466-org,rec-8588-org,unk,m,19,19971006,ms,michael,aarcy,,myrtleford,2579,8,beetaloo street,,04 56646391,4431669,0,NoRole
rec-6244-org,rec-3073-org,,,35,,mr,joel,grbovac,qld,glen aplin,2575,44,barden place,jabaru court,613 73619382,6939595,0,NoRole
rec-6805-org,rec-4140-org,wel,f,,19141231,sgt,alex,,vic,alice springs,4034,48,currie crescent,,08 70240257,3294086,6,NoRole
rec-4710-org,rec-7144-org,usa,,36,19801009,dr,james,estes,,brunswick west,4151,18,gamban square,,08 52694736,8676732,9,NoRole
rec-5276-org,rec-8769-org,unk,f,41,19750117,,tarshya,scoby,nsw,barellan,3135,14,clarey crescent,learning earth farm,02 98681216,4216188,7,NoRole
rec-7755-org,rec-3287-org,chi,f,31,19851006,,julia,lyou,sa,tanunda,6112,2,forbes street,,07 58852374,2156152,1,NoRole
rec-6949-org,rec-1243-org,unk,m,34,19820503,hon,latham,schwanke,nsw,baulkham hills,2121,1,studley street,rockview,2 25145856,5044240,9,NoRole
rec-1617-org,rec-3225-org,usa,,24,19921009,,alia,park,qld,eromanga,4356,57,gungurra crescent,retirement village,613 96357084,9212893,1,NoRole
rec-6565-org,rec-2788-org,tha,f,25,19910425,,,nitpattanasai,nsw,mallabula,3756,20,forbes street,,2 96563914,5442790,3,NoRole
rec-1681-org,rec-8219-org,hun,m,29,,,mila,sarf,nsw,booral,7004,4,mcluckie crescent,,02 44692465,1083205,1,NoRole
rec-244-org,rec-6073-org,por,f,,,,tommi-lee,catarino,nsw,griffith,4122,311,barada crescent,,2 42895205,9419665,1,NoRole
rec-4587-org,rec-167-org,unk,,34,19820420,ms,joel,scofield,qld,alice river,5086,107,aspinall street,caragnoo,3 42291143,3011991,6,NoRole
rec-6764-org,rec-5501-org,usa,m,36,19800822,mr,thomas,hoover,nsw,byabarra,3175,74,barrington crescent,dudley specialist medical centre,2 20164515,4063328,4,NoRole
rec-627-org,rec-2752-org,eng,,,19431019,,hayley,royle,qld,mirani,3134,5,keverstone circuit,,613 46656565,3032907,3,NoRole
rec-7156-org,rec-1913-org,eng,f,30,19861031,,nicholas,pressley,nsw,tarcutta,4032,4,fizelle place,,2 16193951,2910839,7,NoRole
rec-8763-org,rec-77-org,ser,m,27,19890926,,alyssa,randjeiovic,qld,mitchelton,3580,7,miranda place,,613 39105313,6081754,9,NoRole
rec-276-org,rec-5811-org,ger,f,20,19960302,,dimitri,schrder,,nunawading,5031,103,proctor street,,02 80188376,7198049,5,NoRole
rec-3766-org,rec-5181-org,usa,f,26,,,eliza,patton,sa,karoonda,2114,150,mortlock circuit,,617 04981204,7067513,9,NoRole
rec-6982-org,rec-917-org,dut,f,38,19781028,,zara,jansens,nsw,gundy,3796,1,ebenezer street,,02 69355909,9728106,2,NoRole
rec-7939-org,rec-8999-org,usa,f,27,,,wade,ryan,vic,lalor park,2515,23,macgregor street,,08 90549969,3396963,1,NoRole
rec-8398-org,rec-5604-org,vie,m,31,19850119,ms,ned,tanh,nsw,mount pleasant,2207,19,,billycreek farm,2 92118349,2983668,7,NoRole
rec-3770-org,rec-5452-org,usa,m,35,19810131,ms,jacob,dickson,nsw,guyra,2194,39,temperley street,,612 13630470,6654150,2,NoRole
rec-1562-org,rec-4691-org,dan,f,,19781010,ms,megan,claussen,nsw,enmore,3165,15,rosella street,osborne house,04 14031007,1161908,1,NoRole
rec-7283-org,rec-2035-org,sri,m,23,19930127,ms,vianca,chandika,nsw,noble park,4340,153,burdekin avenue,rose gardens touri,612 15549497,4818495,0,NoRole
rec-358-org,rec-1498-org,eng,f,,19790217,dr,keira,hopson,,clovelly,3199,12,poynton street,,07 16952482,6281246,8,NoRole
